"id","phoneNumber","area","wasteGeneratorTypes","houseNumber","floorNumber","householdType","personName","contactNumber","numberOfPeople","buildingPhoto","createdAt","updatedAt","dryRFID","drySlno","wetRFID","wetSlno","lat","lng"
2433,"7000000001","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-01","Ground floor","Owner","Aarav Kumar","8000000001","1",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000001","W1-D-000001","E2004701B0000000000001","W1-W-000001",12.89750000,77.58750000
2434,"7000000002","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-02","1st Floor","Tenant","Vihaan Kumar","8000000002","2",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000002","W1-D-000002","E2004701B0000000000002","W1-W-000002",12.89750200,77.58765000
2435,"7000000003","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-03","2nd Floor","Owner","Aditya Kumar","8000000003","3",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000003","W1-D-000003","E2004701B0000000000003","W1-W-000003",12.89750400,77.58780000
2436,"7000000004","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-04","3rd Floor","Tenant","Arjun Kumar","8000000004","4",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000004","W1-D-000004","E2004701B0000000000004","W1-W-000004",12.89750600,77.58795000
2437,"7000000005","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-05","Ground floor","Owner","Rohan Kumar","8000000005","5",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000005","W1-D-000005","E2004701B0000000000005","W1-W-000005",12.89750800,77.58810000
2438,"7000000006","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-06","1st Floor","Tenant","Rahul Kumar","8000000006","6",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000006","W1-D-000006","E2004701B0000000000006","W1-W-000006",12.89751000,77.58825000
2439,"7000000007","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-07","2nd Floor","Owner","Karthik Kumar","8000000007","1",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000007","W1-D-000007","E2004701B0000000000007","W1-W-000007",12.89751200,77.58840000
2440,"7000000008","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-08","3rd Floor","Tenant","Vikram Kumar","8000000008","2",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000008","W1-D-000008","E2004701B0000000000008","W1-W-000008",12.89751400,77.58855000
2441,"7000000009","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-09","Ground floor","Owner","Akash Kumar","8000000009","3",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A0000000000009","W1-D-000009","E2004701B0000000000009","W1-W-000009",12.89751600,77.58870000
2442,"7000000010","Zone A - Division 1 - Ward 1 - Block 1","Individual HHs","1-10","1st Floor","Tenant","Siddharth Kumar","8000000010","4",NULL,"2026-08-11 06:38:26.262","2026-08-11 06:38:26.262","E2004701A000000000000A","W1-D-000010","E2004701B000000000000A","W1-W-000010",12.89751800,77.58885000
